"Had Obesity(students who were >= 95th percentile for body mass index, based on sex- and age-specific reference data from the 2000 CDC growth charts) High School Youth Risk Behavior Survey, 2017",,,,,,,,,,,,
Location %,Total %,Total Lower CI Limit,Total Upper CI Limit,Total N,Female %,Female Lower CI Limit,Female Upper CI Limit,Female N,Male %,Male Lower CI Limit,Male Upper CI Limit,Male N
National,,,,,,,,,,,,
United States ,14.8†,13.8,15.8,"13,146",12.1,10.7,13.7,"6,766",17.5,16.2,18.9,"6,380"
States,,,,,,,,,,,,
Alabama ,,,,,,,,,,,,
Alaska ,13.7,11.7,15.9,"1,257",12.8,10.0,16.2,613,14.5,11.9,17.5,644
Arizona ,12.3,10.2,14.7,"1,951",7.7,4.9,11.8,963,16.7,13.6,20.3,988
Arkansas ,21.7,17.8,26.2,"1,535",19.0,14.6,24.4,777,24.3,19.9,29.3,758
California ,13.9,10.5,18.2,"1,622",10.0,6.5,15.1,790,17.6,13.7,22.4,832
Colorado ,9.5,7.6,11.8,"1,300",6.7,4.3,10.2,621,12.1,9.8,14.9,679
Connecticut ,12.7,10.7,14.9,"2,274",10.6,8.6,13.2,"1,141",14.6,11.9,17.7,"1,133"
Delaware ,15.1,13.1,17.4,"2,474",12.9,10.6,15.6,"1,281",17.3,14.7,20.4,"1,193"
Florida ,10.9,9.6,12.4,"4,885",8.6,7.1,10.4,"2,602",13.4,11.6,15.5,"2,283"
Georgia ,,,,,,,,,,,,
Hawaii ,14.2,13.1,15.4,"5,496",10.7,9.4,12.1,"2,737",17.7,15.8,19.8,"2,759"
Idaho ,11.4,9.7,13.3,"1,739",10.6,8.0,13.9,918,12.2,10.0,14.8,821
Illinois ,14.8,12.6,17.5,"4,587",11.9,9.5,14.8,"2,378",17.7,15.1,20.7,"2,209"
Indiana ,,,,,,,,,,,,
Iowa ,15.3,12.0,19.5,"1,616",11.8,9.0,15.3,792,18.8,13.5,25.4,824
Kansas ,13.1,11.3,15.0,"2,347",10.2,8.3,12.4,"1,272",15.8,13.3,18.6,"1,075"
Kentucky ,20.2,17.4,23.3,"1,887",17.2,14.0,20.9,959,23.0,19.5,27.0,928
Louisiana ,17.0,14.2,20.3,"1,128",13.6,10.4,17.6,544,20.3,16.3,25.1,584
Maine ,14.3,13.1,15.5,"8,593",10.2,9.0,11.5,"4,345",18.1,16.5,19.8,"4,248"
Maryland ,12.6,12.1,13.1,"45,773",10.4,9.9,11.0,"22,924",14.7,14.0,15.4,"22,849"
Massachusetts ,11.7,9.9,13.8,"3,054",8.9,7.2,11.0,"1,519",14.5,12.2,17.1,"1,535"
Michigan ,16.7,12.9,21.4,"1,547",14.1,8.3,23.0,771,19.3,16.9,22.0,776
Mississippi ,,,,,,,,,,,,
Missouri ,16.6,13.8,19.9,"1,811",14.4,11.2,18.2,859,18.9,15.1,23.4,952
Montana ,11.7,10.4,13.2,"4,596",8.7,7.3,10.3,"2,316",14.5,12.9,16.3,"2,280"
Nebraska ,14.6,12.3,17.1,"1,378",12.1,9.0,16.1,681,16.9,14.1,20.2,697
Nevada ,14.0,11.9,16.4,"1,570",10.9,9.0,13.2,764,16.9,13.8,20.6,806
New Hampshire ,12.8,11.9,13.8,"10,721",9.6,8.6,10.7,"5,346",15.8,14.7,17.1,"5,375"
New Jersey ,,,,,,,,,,,,
New Mexico ,15.3,13.7,17.0,"5,399",12.2,10.6,14.0,"2,708",18.2,16.5,20.1,"2,691"
New York ,12.4,10.7,14.4,"9,767",10.7,8.8,12.8,"5,108",14.1,12.0,16.5,"4,659"
North Carolina ,15.4,13.3,17.7,"2,891",12.1,9.5,15.2,"1,504",18.5,15.5,21.8,"1,387"
North Dakota ,14.9,13.2,16.7,"2,085",12.9,10.8,15.3,"1,100",16.8,14.5,19.4,985
Ohio ,,,,,,,,,,,,
Oklahoma ,17.1,14.4,20.3,"1,535",17.0,12.7,22.3,776,17.3,13.9,21.3,759
Pennsylvania ,13.7,11.9,15.7,"3,491",11.3,9.2,13.7,"1,726",16.0,13.8,18.4,"1,765"
Rhode Island ,15.2,12.6,18.2,"2,059",12.9,9.6,17.2,"1,050",17.3,15.0,19.9,"1,009"
South Carolina ,17.2,14.2,20.6,"1,407",16.8,13.0,21.4,751,17.6,14.0,21.7,656
South Dakota ,,,,,,,,,,,,
Tennessee ,20.5,18.0,23.2,"1,909",16.9,13.4,21.2,999,23.9,20.6,27.6,910
Texas ,18.6,16.3,21.2,"1,944",16.1,14.0,18.4,"1,035",21.1,17.8,24.7,909
Utah ,9.6,8.0,11.4,"1,760",5.3,3.7,7.5,893,13.8,11.1,17.2,867
Vermont ,12.6,12.2,13.1,"18,504",10.1,9.5,10.8,"9,185",15.1,14.3,15.8,"9,319"
Virginia ,12.7,11.1,14.7,"3,394",11.1,9.1,13.4,"1,755",14.3,12.0,17.0,"1,639"
West Virginia ,19.5,16.6,22.9,"1,465",15.4,12.4,18.8,722,23.4,19.2,28.2,743
Wisconsin ,13.7,11.8,15.8,"1,938",10.7,8.3,13.8,966,16.5,14.3,19.0,972
Wyoming ,,,,,,,,,,,,
Local School Districts,,,,,,,,,,,,
"Albuquerque, NM ",,,,,,,,,,,,
"Baltimore, MD ",18.6,15.5,22.2,711,14.8,11.5,18.9,382,22.3,17.5,27.8,329
"Borough of Bronx, NY ",17.6,15.0,20.5,"1,741",13.2,10.9,15.9,806,21.4,17.7,25.7,935
"Borough of Brooklyn, NY ",13.0,11.5,14.7,"2,396",11.7,9.6,14.1,"1,260",14.2,12.5,16.1,"1,136"
"Borough of Manhattan, NY ",11.7,8.8,15.6,"2,061",9.6,5.7,15.8,"1,200",14.4,11.8,17.5,861
"Borough of Queens, NY ",12.9,10.9,15.2,"1,299",9.5,6.8,13.1,624,15.9,12.8,19.6,675
"Borough of Staten Island, NY ",12.4,10.1,15.0,"1,060",7.2,5.3,9.8,528,17.1,13.8,20.9,532
"Boston, MA ",15.4,13.4,17.7,"1,386",13.5,10.7,16.7,703,17.3,14.4,20.7,683
"Broward County, FL ",10.7,7.7,14.7,851,8.5,5.5,12.8,463,13.0,8.5,19.3,388
"Charlotte-Mecklenburg County, NC ",,,,,,,,,,,,
"Chicago, IL ",18.2,15.6,21.1,"1,686",15.2,12.6,18.2,879,21.4,17.6,25.7,807
"Cleveland, OH ",18.0,16.0,20.2,"1,657",21.3,17.8,25.2,843,14.9,12.8,17.4,814
"Dallas, TX ",,,,,,,,,,,,
"DeKalb County, GA ",14.2,12.0,16.7,"1,816",14.4,11.5,17.9,952,14.0,11.5,16.9,864
"Denver, CO ",,,,,,,,,,,,
"Detroit, MI ",19.0,17.0,21.3,"1,406",15.5,13.4,18.0,790,23.0,19.0,27.5,616
District of Columbia ,16.8,15.8,17.7,"7,513",17.0,15.7,18.4,"3,985",16.5,15.2,17.9,"3,528"
"Duval County, FL ",14.4,12.9,16.1,"3,170",10.3,8.8,12.2,"1,645",18.7,16.2,21.5,"1,525"
"Eaton Consortium, MI ",,,,,,,,,,,,
"Fort Worth, TX ",18.2,16.6,20.0,"3,012",15.2,13.1,17.5,"1,521",21.2,18.9,23.8,"1,491"
"Gaston County, NC ",,,,,,,,,,,,
"Genesee Consortium, MI ",,,,,,,,,,,,
"Hillsborough County, FL ",,,,,,,,,,,,
"Houston, TX ",20.4,18.9,22.1,"2,785",16.6,14.7,18.7,"1,460",24.1,22.0,26.3,"1,325"
"Los Angeles, CA ",16.4,13.1,20.2,"1,274",11.3,8.4,15.0,626,21.0,17.1,25.5,648
"Memphis, TN ",,,,,,,,,,,,
"Miami-Dade County, FL ",12.8,11.5,14.2,"2,583",10.6,8.9,12.7,"1,355",14.9,13.1,17.0,"1,228"
"Milwaukee, WI ",,,,,,,,,,,,
"New Orleans, LA ",,,,,,,,,,,,
"New York City, NY ",13.5,12.4,14.6,"8,557",10.6,9.2,12.2,"4,418",16.3,14.9,17.7,"4,139"
"Newark, NJ ",,,,,,,,,,,,
"Oakland, CA ",16.2,14.5,18.0,"1,709",13.9,11.4,16.8,857,18.2,15.6,21.0,852
"Orange County, FL ",12.5,10.8,14.5,"1,245",11.3,9.0,14.1,685,13.8,11.0,17.1,560
"Palm Beach County, FL ",12.3,10.9,13.9,"2,134",8.6,6.9,10.5,"1,086",15.9,13.9,18.2,"1,048"
"Pasco County, FL ",,,,,,,,,,,,
"Philadelphia, PA ",16.1,13.0,19.7,"1,438",14.7,11.7,18.4,750,17.4,13.7,21.8,688
"Portland, OR ",,,,,,,,,,,,
"San Bernardino, CA ",,,,,,,,,,,,
"San Diego, CA ",12.9,10.8,15.2,"2,282",8.4,6.7,10.6,"1,111",17.0,14.2,20.4,"1,171"
"San Francisco, CA ",10.1,8.7,11.7,"2,162",5.9,4.5,7.7,"1,053",13.9,11.8,16.2,"1,109"
"Seattle, WA ",,,,,,,,,,,,
"Shelby County, TN ",18.8,16.5,21.3,"1,774",18.3,15.3,21.7,979,19.4,16.5,22.7,795
"Spartanburg County, SC ",,,,,,,,,,,,
Territories and Freely Associated States,,,,,,,,,,,,
American Samoa ,,,,,,,,,,,,
Guam ,23.0,19.8,26.5,"1,077",17.6,13.6,22.4,501,28.9,24.6,33.7,576
Marshall Islands ,,,,,,,,,,,,
Northern Mariana Islands ,16.4,14.8,18.1,"1,830",16.1,13.9,18.6,894,16.7,14.5,19.1,936
Palau ,,,,,,,,,,,,
Puerto Rico ,11.2,9.3,13.3,"1,639",8.8,6.3,12.3,899,13.7,11.8,15.9,740
Tribes,,,,,,,,,,,,
Nez Perce ,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"† Percentage, confidence interval, cell size",,,,,,,,,,,,
